Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
PASIR RIS BEACH PARK,PASIR RIS TERRACE,Terrace,D18,OCR,999 yrs lease commencing from 1874,3380000,-,2022-06,2400,1408
CHARLTON PARK,JALAN MASTULI,Terrace,D19,OCR,Freehold,3628000,-,2022-06,1927,1874
EAST COAST HILL,SENNETT AVENUE,Terrace,D16,OCR,Freehold,3780000,-,2022-06,1927,1953
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1970000,-,2022-06,1615,1220
SERANGOON GARDEN ESTATE,CONWAY GROVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1956,5600000,-,2022-06,2637,2121
HAUS@SERANGOON GARDEN,SERANGOON GARDEN TERRACE,Terrace,D19,OCR,99 yrs lease commencing from 2011,3400000,-,2022-06,2282,1486
PARK VILLAS,PARK VILLAS GREEN,Terrace,D19,OCR,99 yrs lease commencing from 1994,2520000,-,2022-06,1615,1560
LANDED HOUSING DEVELOPMENT,JALAN CHERMAT,Terrace,D19,OCR,Freehold,4350000,-,2022-06,3100,1403
CHIP THYE GARDEN,YIO CHU KANG GARDENS,Terrace,D20,OCR,Freehold,3768000,-,2022-06,2153,1744
TAI HWAN GARDEN,TAI HWAN HEIGHTS,Detached,D19,OCR,Freehold,5850000,-,2022-06,4618,1267
RAYA GARDEN,JALAN LOKAM,Terrace,D19,OCR,Freehold,3080000,-,2022-06,1701,1806
CHARLTON PARK,JALAN PELIKAT,Terrace,D19,OCR,Freehold,3523000,-,2022-06,2034,1729
LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,Detached,D19,OCR,999 yrs lease commencing from 1886,13300000,-,2022-06,12637,1052
FULTON HILL,FULTON ROAD,Terrace,D20,RCR,Freehold,3650000,-,2022-06,2164,1684
CLOVER PARK,CLOVER WAY,Terrace,D20,RCR,Freehold,6.00E+06,-,2022-06,4349,1377
SEMBAWANG HILLS ESTATE,JALAN TELANG,Terrace,D20,OCR,Freehold,4020000,-,2022-06,1981,2027
TIVOLI GARDENS,TAI KENG GARDENS,Terrace,D19,OCR,99 yrs lease commencing from 1996,2680000,-,2022-06,1615,1660
THOMSON HILLS ESTATE,THOMSON CLOSE,Semi-detached,D20,OCR,Freehold,6482800,-,2022-06,6189,1046
BARTLEY RISE ESTATE,EDEN GROVE,Terrace,D19,OCR,Freehold,3080000,-,2022-06,3681,836
SPRING PARK ESTATE,JALAN KUPANG,Semi-detached,D16,OCR,Freehold,6550000,-,2022-06,3208,2042
LANDED HOUSING DEVELOPMENT,RICHARDS PLACE,Terrace,D19,OCR,Freehold,4555888,-,2022-06,2260,2011
EAST VIEW GARDEN,UPPER CHANGI ROAD EAST,Semi-detached,D16,OCR,99 yrs lease commencing from 1965,1880000,-,2022-06,3961,474
SERANGOON GARDEN ESTATE,FARLEIGH AVENUE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,8720000,-,2022-06,4198,2076
LANDED HOUSING DEVELOPMENT,LUCKY HEIGHTS,Semi-detached,D16,OCR,Freehold,7518888,-,2022-06,3229,2328
LANDED HOUSING DEVELOPMENT,TEOW HOCK AVENUE,Terrace,D19,OCR,Freehold,3180000,-,2022-06,2131,1487
BUKIT LOYANG ESTATE,JALAN BATALONG,Semi-detached,D17,OCR,Freehold,3750000,-,2022-06,3326,1127
THOMSON HILLS ESTATE,SEMBAWANG HILLS DRIVE,Terrace,D20,OCR,Freehold,2850000,-,2022-06,2013,1416
CHANGI HEIGHTS,JALAN SINAR BINTANG,Terrace,D17,OCR,Freehold,2860000,-,2022-06,1733,1650
LANDED HOUSING DEVELOPMENT,BUNGA RAMPAI PLACE,Terrace,D19,RCR,Freehold,3950000,-,2022-06,2454,1605
SUNBIRD PARK,SUNBIRD ROAD,Terrace,D16,OCR,Freehold,3890000,-,2022-06,2379,1635
THOMSON PARK,JALAN BELIBAS,Semi-detached,D20,RCR,Freehold,4880000,-,2022-06,2842,1715
GARDEN VIEW ESTATE,CONWAY CIRCLE,Terrace,D19,OCR,Freehold,4880000,-,2022-05,3778,1288
LANDED HOUSING DEVELOPMENT,KEW HEIGHTS,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,3100000,-,2022-05,3735,828
SERANGOON GARDEN ESTATE,WORTHING ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1955,5600000,-,2022-05,4155,1348
LANDED HOUSING DEVELOPMENT,HOW SUN ROAD,Terrace,D19,OCR,Freehold,4150000,-,2022-05,1270,3248
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Semi-detached,D19,OCR,999 yrs lease commencing from 1955,8880000,-,2022-05,6867,1292
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2150000,-,2022-05,1636,1314
ISLAND COUNTRY VILLAS,CASUARINA WALK,Semi-detached,D20,OCR,99 yrs lease commencing from 1995,2600000,-,2022-05,2411,1078
SERANGOON GARDEN ESTATE,CROWHURST DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,7380000,-,2022-05,4585,1607
YEW LIAN PARK,TAMAN PERMATA,Terrace,D20,RCR,Freehold,3870000,-,2022-05,1776,2175
PEAKVIEW ESTATE,JALAN PARI KIKIS,Semi-detached,D16,OCR,Freehold,4300000,-,2022-05,3305,1301
LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,Semi-detached,D16,OCR,Freehold,4100000,-,2022-05,2616,1563
THOMSON RIDGE ESTATE,THOMSON RIDGE,Semi-detached,D20,RCR,Freehold,5300000,-,2022-05,3283,1613
LANDED HOUSING DEVELOPMENT,KEW CRESCENT,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,2830000,-,2022-05,2336,1208
GOLDEN HILL ESTATE,LI HWAN DRIVE,Semi-detached,D19,OCR,Freehold,4880000,-,2022-05,3832,1271
CHANGI GROVE,JALAN MARIAM,Detached,D17,OCR,Freehold,5600000,-,2022-05,5974,936
SERANGOON GARDEN ESTATE,HUDDINGTON AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1954,3380000,-,2022-05,2164,1561
FLORENCE GROVE,FLORENCE CLOSE,Terrace,D19,OCR,Freehold,4730000,-,2022-05,2164,2186
BURGHLEY DRIVE,BURGHLEY DRIVE,Terrace,D19,OCR,Freehold,4800000,-,2022-05,2153,2221
LANDED HOUSING DEVELOPMENT,KEW DRIVE,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,2900000,-,2022-05,2583,1123
CHARLTON PARK,SURIN LANE,Detached,D19,OCR,Freehold,7600000,-,2022-05,7546,1007
SERANGOON GARDEN ESTATE,CHISELHURST GROVE,Terrace,D19,OCR,999 yrs lease commencing from 1956,2038000,-,2022-05,1830,1108
EASTERN GROVE,JALAN LIMAU KASTURI,Terrace,D16,OCR,999 yrs lease commencing from 1878,3680000,-,2022-05,2594,1413
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1830000,-,2022-05,1615,1133
SERANGOON GARDEN ESTATE,CONISTON GROVE,Terrace,D19,OCR,999 yrs lease commencing from 1956,3620000,-,2022-05,2637,1371
LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,Terrace,D19,OCR,Freehold,4280000,-,2022-05,3520,1213
RAYA GARDEN,JALAN KELICHAP,Terrace,D19,OCR,Freehold,3200000,-,2022-05,2131,1500
PASIR RIS BEACH PARK,PASIR RIS TERRACE,Terrace,D18,OCR,999 yrs lease commencing from 1874,5400000,-,2022-05,5188,1041
THOMSON HILLS ESTATE,SEMBAWANG HILLS DRIVE,Terrace,D20,OCR,Freehold,3.00E+06,-,2022-05,2002,1497
GOLDEN HILL ESTATE,LI HWAN PLACE,Terrace,D19,OCR,Freehold,3690000,-,2022-05,2465,1496
LANDED HOUSING DEVELOPMENT,MARIAM CLOSE,Semi-detached,D17,OCR,Freehold,3980000,-,2022-05,2971,1335
LANDED HOUSING DEVELOPMENT,ST. HELIER'S AVENUE,Semi-detached,D19,OCR,Freehold,6800000,-,2022-05,5156,1319
TAI KENG VILLAS,JALAN KELICHAP,Terrace,D19,OCR,99 yrs lease commencing from 1996,2438888,-,2022-05,1679,1451
LANDED HOUSING DEVELOPMENT,UPPER THOMSON ROAD,Terrace,D20,RCR,Freehold,3080000,-,2022-05,1808,1696
LANDED HOUSING DEVELOPMENT,RIVIERA DRIVE,Detached,D16,OCR,Freehold,7.00E+06,-,2022-05,4402,1588
MAYFLOWER GARDENS,MAYFLOWER CRESCENT,Semi-detached,D20,OCR,Freehold,6300000,-,2022-05,4725,1333
ST ANNE'S WOOD,ST. ANNE'S WOOD,Terrace,D19,OCR,999 yrs lease commencing from 1875,3420000,-,2022-05,2164,1580
BEDOK PESARI,JALAN GREJA,Semi-detached,D16,OCR,Freehold,4260000,-,2022-05,3735,1140
SOO CHOW GARDEN,SOO CHOW GARDEN ROAD,Terrace,D20,RCR,Freehold,5450000,-,2022-05,2734,1992
LANDED HOUSING DEVELOPMENT,TOH CRESCENT,Detached,D17,OCR,Freehold,4750000,-,2022-05,5856,811
SERANGOON GARDEN ESTATE,FARLEIGH AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1954,5100000,-,2022-05,2293,2224
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Terrace,D20,OCR,Freehold,3533000,-,2022-05,1421,2481
LANDED HOUSING DEVELOPMENT,PARRY AVENUE,Detached,D19,OCR,999 yrs lease commencing from 1886,5850000,-,2022-05,5134,1138
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Detached,D19,OCR,Freehold,9630000,-,2022-05,9332,1031
LANDED HOUSING DEVELOPMENT,KEW HEIGHTS,Detached,D16,OCR,99 yrs lease commencing from 1994,4500000,-,2022-05,7535,597
LANDED HOUSING DEVELOPMENT,BEDOK ROAD,Semi-detached,D16,OCR,70 yrs lease commencing from 1964,762000,-,2022-05,4306,177
PALM GROVE TERRACE,FLOWER ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1878,4400000,-,2022-05,3326,1323
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Semi-detached,D19,OCR,Freehold,5500000,-,2022-05,5823,943
SIMEI GARDEN,SEA BREEZE WALK,Terrace,D16,OCR,Freehold,3500000,-,2022-05,2153,1625
SERANGOON GARDEN ESTATE,COWDRAY AVENUE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,3750000,-,2022-05,2153,1736
LANDED HOUSING DEVELOPMENT,EASTWOOD DRIVE,Terrace,D16,OCR,99 yrs lease commencing from 1995,2400000,-,2022-05,2067,1158
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1968000,-,2022-05,2034,964
SERANGOON GARDEN ESTATE,BRAEMAR DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,3820000,-,2022-04,2799,1364
SERANGOON GARDEN ESTATE,CROWHURST DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,4650000,-,2022-04,4176,1111
MAYFLOWER GARDENS,MAYFLOWER LANE,Terrace,D20,OCR,Freehold,4630000,-,2022-04,2024,2288
EAST VIEW GARDEN,UPPER CHANGI ROAD EAST,Semi-detached,D16,OCR,Freehold,3800000,-,2022-04,3681,1032
EAST VIEW GARDEN,UPPER CHANGI ROAD EAST,Semi-detached,D16,OCR,Freehold,3800000,-,2022-04,3681,1032
SEMBAWANG HILLS ESTATE,JALAN LANJUT,Terrace,D20,OCR,Freehold,3290000,-,2022-04,1991,1644
SUNBIRD PARK,SUNBIRD ROAD,Terrace,D16,OCR,Freehold,4300000,-,2022-04,5425,792
LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,Terrace,D19,OCR,Freehold,2770000,-,2022-04,1733,1591
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2035000,-,2022-04,2034,1000
THOMSON GARDEN ESTATE,JALAN PINTAU,Terrace,D20,RCR,Freehold,2263000,-,2022-04,883,2558
THOMSON PARK,JALAN SEMBILANG,Terrace,D20,RCR,Freehold,2860000,-,2022-04,1658,1725
BEAUTY GARDEN,JALAN MERDU,Semi-detached,D19,OCR,999 yrs lease commencing from 1879,4050000,-,2022-04,3208,1259
LANDED HOUSING DEVELOPMENT,PAYA LEBAR STREET,Terrace,D19,RCR,Freehold,3800000,-,2022-04,2896,1312
SEMBAWANG HILLS ESTATE,NEMESU AVENUE,Semi-detached,D20,OCR,Freehold,3350000,-,2022-04,2239,1492
YEW LIAN PARK,TAMAN PERMATA,Terrace,D20,RCR,Freehold,3650000,-,2022-04,1970,1846
PARK VILLAS,PARK VILLAS TERRACE,Terrace,D19,OCR,99 yrs lease commencing from 1994,2360000,-,2022-04,1615,1462
SERANGOON GARDEN ESTATE,CARDIFF GROVE,Terrace,D19,OCR,999 yrs lease commencing from 1956,4126000,-,2022-04,2637,1562
LANDED HOUSING DEVELOPMENT,SEA BREEZE ROAD,Semi-detached,D16,OCR,Freehold,4908000,-,2022-04,4101,1196
LANDED HOUSING DEVELOPMENT,PARBURY AVENUE,Terrace,D16,OCR,Freehold,3.00E+06,-,2022-04,1733,1721
THOMSON RISE ESTATE,JALAN BERJAYA,Detached,D20,RCR,Freehold,7800000,-,2022-04,5597,1393
THE RIVERINA,RIVERINA VIEW,Terrace,D18,OCR,99 yrs lease commencing from 1996,2008000,-,2022-04,1615,1244
LANDED HOUSING DEVELOPMENT,BEDOK AVENUE,Semi-detached,D16,OCR,Freehold,4950000,-,2022-04,4036,1224
PAYA LEBAR GARDENS,JALAN USAHA,Terrace,D19,OCR,Freehold,2900000,-,2022-04,1819,1588
TAI KENG VILLAS,JALAN KELICHAP,Terrace,D19,OCR,99 yrs lease commencing from 1996,2280000,-,2022-04,1744,1307
PARK VILLAS,PARK VILLAS RISE,Semi-detached,D19,OCR,99 yrs lease commencing from 1994,2500000,-,2022-04,2745,909
SEMBAWANG HILLS ESTATE,JALAN CHEMPEDAK,Terrace,D20,OCR,Freehold,4275000,-,2022-04,1970,2166
EVERGREEN GARDEN,EVERGREEN AVENUE,Semi-detached,D16,OCR,Freehold,4700000,-,2022-04,3208,1462
SEMBAWANG HILLS ESTATE,JALAN LANJUT,Terrace,D20,OCR,Freehold,4500000,-,2022-04,1981,2265
LANDED HOUSING DEVELOPMENT,PARBURY AVENUE,Terrace,D16,OCR,Freehold,3528000,-,2022-04,1776,1984
LANDED HOUSING DEVELOPMENT,JALAN CHEMPAKA KUNING,Terrace,D16,OCR,70 yrs lease commencing from 1964,320000,-,2022-04,2357,135
LANDED HOUSING DEVELOPMENT,EASTWOOD WAY,Semi-detached,D16,OCR,99 yrs lease commencing from 1995,3500000,-,2022-04,3531,990
SIEW LIM PARK,BEDOK ROAD,Semi-detached,D16,OCR,70 yrs lease commencing from 1964,8.00E+05,-,2022-04,4295,186
TAI HWAN PARK,TAI HWAN CRESCENT,Terrace,D19,OCR,Freehold,3988000,-,2022-04,2605,1529
EASTWOOD PARK,EASTWOOD GREEN,Terrace,D16,OCR,99 yrs lease commencing from 1995,2688000,-,2022-04,2734,981
SERANGOON GARDEN ESTATE,RAGLAN GROVE,Detached,D19,OCR,999 yrs lease commencing from 1953,6350000,-,2022-04,4930,1286
WESTLAKE GARDENS,WESTLAKE AVENUE,Detached,D20,RCR,Freehold,7550000,-,2022-04,5834,1294
THE INGLEWOOD,THE INGLEWOOD,Terrace,D20,RCR,Freehold,4400000,-,2022-04,2637,1663
TAI PENG GARDENS,JALAN RENGKAM,Semi-detached,D19,OCR,Freehold,5680000,-,2022-04,4930,1150
LANDED HOUSING DEVELOPMENT,TAMAN SIREH,Terrace,D19,OCR,Freehold,3810000,-,2022-04,2228,1706
SERANGOON GARDEN ESTATE,CHARTWELL DRIVE,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,4800000,-,2022-04,4198,1142
TAI KENG VILLAS,JALAN KELICHAP,Terrace,D19,OCR,99 yrs lease commencing from 1996,2488888,-,2022-04,2347,1057
LIMAU VILLAS,LIMAU RISE,Terrace,D16,OCR,99 yrs lease commencing from 1996,2280000,-,2022-04,1744,1304
SERANGOON GARDEN ESTATE,HEMSLEY AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1954,3200000,-,2022-04,2164,1476
THOMSON RIDGE,THOMSON RIDGE,Semi-detached,D20,RCR,Freehold,4940000,-,2022-04,3186,1548
THOMSON GARDEN ESTATE,JALAN HARI RAYA,Terrace,D20,RCR,Freehold,3450000,-,2022-04,1798,1912
ST NICHOLAS VIEW,ST. NICHOLAS VIEW,Terrace,D20,OCR,99 yrs lease commencing from 1995,2300000,-,2022-04,1615,1424
SANFORD PARK,LANGE ROAD,Terrace,D19,OCR,Freehold,4020000,-,2022-04,2422,1657
LANDED HOUSING DEVELOPMENT,KEW HEIGHTS,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,2925000,-,2022-04,3627,805
LANDED HOUSING DEVELOPMENT,KEW WALK,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,3180000,-,2022-04,2390,1326
LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,Terrace,D16,OCR,Freehold,3368000,-,2022-04,1625,2065
VILLAS AT KEW,KEW DRIVE,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,3280000,-,2022-04,2540,1290
THE RIVERINA,RIVERINA CRESCENT,Terrace,D18,OCR,99 yrs lease commencing from 1996,2070000,-,2022-04,1615,1282
LANDED HOUSING DEVELOPMENT,GLASGOW ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1878,4100000,-,2022-04,2551,1604
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2050000,-,2022-04,2034,1008
LANDED HOUSING DEVELOPMENT,FLOWER ROAD,Terrace,D19,OCR,Freehold,3400000,-,2022-04,1873,1806
SERANGOON GARDEN ESTATE,RIPLEY CRESCENT,Semi-detached,D19,OCR,999 yrs lease commencing from 1953,5900800,-,2022-04,3950,1491
LANDED HOUSING DEVELOPMENT,HAI SING CRESCENT,Semi-detached,D19,OCR,999 yrs lease commencing from 1876,3980000,-,2022-04,2303,1727
LANDED HOUSING DEVELOPMENT,JALAN TANI,Semi-detached,D19,OCR,999 yrs lease commencing from 1875,5018000,-,2022-04,4812,1042
LANDED HOUSING DEVELOPMENT,SIMON LANE,Terrace,D19,OCR,Freehold,2700000,-,2022-03,1593,1691
SERANGOON GARDEN ESTATE,JALAN CHULEK,Terrace,D19,OCR,99 yrs lease commencing from 1965,1710000,-,2022-03,2034,837
NANYANG PARK,JALAN LIMBOK,Terrace,D19,OCR,999 yrs lease commencing from 1881,5300000,-,2022-03,3122,1696
LANDED HOUSING DEVELOPMENT,SENNETT TERRACE,Terrace,D16,OCR,Freehold,3750000,-,2022-03,2153,1735
PICARDY GARDENS,JALAN PARI BURONG,Semi-detached,D16,OCR,Freehold,5500000,-,2022-03,5436,1011
CHARLTON PARK,JALAN MASTULI,Terrace,D19,OCR,Freehold,3750000,-,2022-03,1938,1935
SERANGOON GARDEN ESTATE,CRICHTON CLOSE,Semi-detached,D19,OCR,999 yrs lease commencing from 1956,4100000,-,2022-03,2745,1490
BUKIT LOYANG ESTATE,JALAN BATALONG,Semi-detached,D17,OCR,Freehold,3800000,-,2022-03,3315,1145
BARTLEY RISE ESTATE,EDEN GROVE,Terrace,D19,OCR,Freehold,3100000,-,2022-03,1873,1654
LIMAU VILLAS,LIMAU RISE,Terrace,D16,OCR,99 yrs lease commencing from 1996,1950000,-,2022-03,1615,1208
LANDED HOUSING DEVELOPMENT,KEW CRESCENT,Terrace,D16,OCR,99 yrs lease commencing from 1994,2500000,-,2022-03,1711,1457
RINDU TERRACE,JALAN RINDU,Terrace,D19,OCR,99 yrs lease commencing from 1993,2450000,-,2022-03,2207,1105
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2230000,-,2022-03,2486,897
ISLAND COUNTRY VILLAS,OLD UPPER THOMSON ROAD,Semi-detached,D20,OCR,99 yrs lease commencing from 1995,2600000,-,2022-03,2497,1038
LANDED HOUSING DEVELOPMENT,BRIGHTON CRESCENT,Detached,D19,OCR,Freehold,8.00E+06,-,2022-03,4359,1832
ADELPHI PARK ESTATE,DAFFODIL DRIVE,Detached,D20,RCR,Freehold,5500000,-,2022-03,3358,1636
TAI HWAN GARDEN,TAI HWAN PLACE,Terrace,D19,OCR,Freehold,5100000,-,2022-03,4521,1127
LOYANG VILLAS,LOYANG VIEW,Terrace,D17,OCR,99 yrs lease commencing from 1993,2200000,-,2022-03,1615,1363
LANDED HOUSING DEVELOPMENT,KEW WALK,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,2600000,-,2022-03,2400,1083
KEW VALE,KEW CRESCENT,Terrace,D16,OCR,99 yrs lease commencing from 1994,3.00E+06,-,2022-03,4166,720
LANDED HOUSING DEVELOPMENT,CHIAP GUAN AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1876,3050000,-,2022-03,1722,1764
THOMSON RISE ESTATE,JALAN PEMIMPIN,Semi-detached,D20,RCR,Freehold,4800000,-,2022-03,2788,1716
PARRY GREEN,LIMBOK TERRACE,Terrace,D19,OCR,99 yrs lease commencing from 1996,2188888,-,2022-03,1615,1354
TANAH MERAH PARK,TANAH MERAH BESAR LANE,Semi-detached,D17,OCR,Freehold,2650000,-,2022-03,2411,1097
SERANGOON GARDEN ESTATE,WORTHING ROAD,Semi-detached,D19,OCR,999 yrs lease commencing from 1954,4800000,-,2022-03,2874,1665
THOMSON HILLS ESTATE,THOMSON HILL,Semi-detached,D20,OCR,Freehold,4250000,-,2022-03,3477,1220
SERANGOON GARDEN ESTATE,FARLEIGH AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1954,3255000,-,2022-03,2293,1420
SEMBAWANG HILLS ESTATE,JALAN RUKAM,Semi-detached,D20,OCR,Freehold,5500000,-,2022-03,3810,1441
THOMSON GARDEN ESTATE,JALAN CHEGAR,Terrace,D20,RCR,Freehold,4900000,-,2022-03,2680,1824
SERANGOON GARDEN ESTATE,JALAN CHULEK,Terrace,D19,OCR,99 yrs lease commencing from 1965,1320000,-,2022-03,2077,635
THOMSON HILLS ESTATE,THOMSON HILLS DRIVE,Terrace,D20,OCR,Freehold,4280000,-,2022-03,3251,1313
CLOVER PARK,CLOVER WAY,Terrace,D20,RCR,Freehold,3800000,-,2022-03,1690,2239
WESTLAKE GARDENS,WESTLAKE AVENUE,Semi-detached,D20,RCR,Freehold,6500000,-,2022-03,3531,1837
LANDED HOUSING DEVELOPMENT,GLASGOW ROAD,Semi-detached,D19,OCR,999 yrs lease commencing from 1876,4600000,-,2022-03,3412,1345
GOLDEN HILL ESTATE,MEI HWAN DRIVE,Terrace,D20,OCR,Freehold,4250000,-,2022-03,2971,1429
SUNBIRD PARK,SUNBIRD ROAD,Terrace,D16,OCR,Freehold,3330000,-,2022-03,1615,2061
EAST COAST HILL,SENNETT LANE,Semi-detached,D16,OCR,Freehold,8650000,-,2022-03,3907,2211
CHUAN GARDEN,LORONG CHUAN,Semi-detached,D19,OCR,Freehold,3800000,-,2022-03,4133,919
LANDED HOUSING DEVELOPMENT,BRIGHTON AVENUE,Detached,D19,OCR,Freehold,5080000,-,2022-03,5134,988
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Semi-detached,D19,OCR,Freehold,4380000,-,2022-03,4585,953
PARK VILLAS,PARK VILLAS RISE,Terrace,D19,OCR,99 yrs lease commencing from 1994,2550000,-,2022-03,2379,1072
THOMSON RIDGE ESTATE,JALAN LEMBAH THOMSON,Terrace,D20,RCR,Freehold,4200000,-,2022-03,2056,2038
SERANGOON GARDEN ESTATE,CONWAY GROVE,Terrace,D19,OCR,999 yrs lease commencing from 1956,4078000,-,2022-03,1830,2217
LANDED HOUSING DEVELOPMENT,LEITH ROAD,Semi-detached,D19,OCR,Freehold,4750000,-,2022-03,4133,1147
LANDED HOUSING DEVELOPMENT,MARLENE AVENUE,Semi-detached,D19,OCR,Freehold,6668000,-,2022-03,6394,1042
LANDED HOUSING DEVELOPMENT,HARVEY AVENUE,Semi-detached,D16,OCR,Freehold,6600000,-,2022-03,6372,1035
APOLLO GARDENS,SUNBIRD CIRCLE,Semi-detached,D16,OCR,Freehold,5368000,-,2022-03,3595,1490
THOMSON HILLS ESTATE,SEMBAWANG HILLS DRIVE,Terrace,D20,OCR,Freehold,4868000,-,2022-03,2002,2428
PASIR RIS BEACH PARK,ELIAS ROAD,Detached,D18,OCR,999 yrs lease commencing from 1874,5488000,-,2022-03,4790,1145
LANDED HOUSING DEVELOPMENT,KEW HEIGHTS,Detached,D16,OCR,99 yrs lease commencing from 1994,3850000,-,2022-03,4564,843
GOLDEN HILL ESTATE,LI HWAN TERRACE,Terrace,D19,OCR,Freehold,3670000,-,2022-03,1679,2184
PASIR RIS BEACH PARK,PASIR RIS AVENUE,Semi-detached,D18,OCR,999 yrs lease commencing from 1874,4300000,-,2022-03,3993,1074
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Semi-detached,D19,OCR,Freehold,4380000,-,2022-03,4618,946
CHUAN GREEN,CHUAN PLACE,Terrace,D19,OCR,99 yrs lease commencing from 1997,2640000,-,2022-03,1668,1582
PARK VILLAS,PARK VILLAS GREEN,Terrace,D19,OCR,99 yrs lease commencing from 1994,2150000,-,2022-03,1615,1332
SERANGOON GARDEN ESTATE,BLANDFORD DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1955,4180000,-,2022-03,2799,1492
LANDED HOUSING DEVELOPMENT,SANDILANDS ROAD,Terrace,D19,OCR,999 yrs lease commencing from 1886,4500000,-,2022-03,4166,1079
LANDED HOUSING DEVELOPMENT,LUCKY GARDENS,Terrace,D16,OCR,Freehold,3380000,-,2022-03,1798,1874
TAI HWAN PARK,TAI HWAN DRIVE,Terrace,D19,OCR,Freehold,3600000,-,2022-03,1841,1946
CORAL PARK,PEMIMPIN PLACE,Terrace,D20,RCR,Freehold,4100000,-,2022-03,1830,2230
PEAKVIEW ESTATE,UPPER CHANGI ROAD,Terrace,D16,OCR,Freehold,4380000,-,2022-03,2928,1495
LUCKY HILL,BEDOK TERRACE,Terrace,D16,OCR,999 yrs lease commencing from 1878,3600000,-,2022-03,1798,1994
LOYANG VILLAS,LOYANG VIEW,Terrace,D17,OCR,99 yrs lease commencing from 1993,1850000,-,2022-02,1615,1146
THE RIVERINA,RIVERINA CRESCENT,Terrace,D18,OCR,99 yrs lease commencing from 1996,2008000,-,2022-02,1615,1244
ADELPHI PARK ESTATE,GARDENIA ROAD,Terrace,D20,RCR,Freehold,3450000,-,2022-02,1550,2213
LANDED HOUSING DEVELOPMENT,JALAN TANJONG,Terrace,D16,OCR,Freehold,4300000,-,2022-02,2605,1645
PARRY PARK,PARRY TERRACE,Terrace,D19,OCR,999 yrs lease commencing from 1877,2800000,-,2022-02,1668,1676
SEMBAWANG HILLS ESTATE,JALAN LANJUT,Terrace,D20,OCR,Freehold,4800000,-,2022-02,1991,2399
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1750000,-,2022-02,1744,1000
THOMSON PARK,JALAN TERUBOK,Terrace,D20,RCR,Freehold,3880000,-,2022-02,1496,2584
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,1950000,-,2022-02,1647,1179
KEW VALE,KEW DRIVE,Semi-detached,D16,OCR,99 yrs lease commencing from 1994,3108000,-,2022-02,3143,986
CLOVER PARK,JALAN PEMIMPIN,Terrace,D20,RCR,Freehold,3800000,-,2022-02,1938,1955
